feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,defective
53.25303175577416,18.596089539865257,36.555566641948644,25.12298872077936,70.09451239648327,13.342652478755475,70.78521755856495,46.239331103379435,40.51677770024378,51.3291652334642,64.76460283555319,77.69852756074545,82.10167914579038,87.2750372804222,85.341853867144,81.9994135704418,119.67258218916731,122.55919927053964,97.55756822034542,124.3359204248085,120.24510347029691,137.8699409832639,113.13190563146932,157.85057051384666,106.5400867094435,118.10606595404771,164.0719319402068,172.94561626033968,182.6498273196158,184.2554439846394,0
41.25947157121121,17.963572381738487,28.912437213407276,28.178401854454336,52.93042924126061,17.594466060325956,71.18024224187862,39.343655040345055,40.291381428167334,62.100126592254625,60.41897392951051,79.32607262886366,71.99785410239528,90.52649794371085,89.59765951347877,96.57380156157583,86.06878755193664,107.7204102814329,77.74825967261661,120.53998638258955,133.60706032699716,124.25048320303799,130.86709271036025,153.33569325160886,116.03307466645617,147.50601467801465,122.81986994436808,130.4229811465253,149.04989577950735,179.21652519946602,0
45.39224920306201,18.72323570829502,27.91012290770632,25.13003326000569,54.96198973446732,12.649603597814373,60.56440918384638,30.710353896953183,48.69521963046039,59.6546988673198,72.55618650967533,87.15525305889078,68.78115117371973,98.34415574372595,84.64619230505704,81.41323334707383,112.40160577220264,99.35384475790963,109.16131023787071,105.06342547693713,142.47812127910456,146.91890605496414,108.41994516947095,139.40337049044416,125.04954411118898,140.01786993184598,133.08760600243792,159.1756455852124,182.7625702717906,140.85831355576207,0
49.41929886328596,16.19983990857727,31.996025899742747,26.10291418757524,66.21666320510269,14.701002275463317,81.19276682154327,32.60991052967801,38.7071911305747,49.66185440281114,72.70962895496596,69.42621167506901,79.33517777603973,85.37531366556661,79.51268142779278,85.86515366201739,112.16558689803071,105.06007342696029,124.73160447748953,116.08995278292946,129.707471815121,115.7667611469683,94.40357692447846,149.2855428303706,161.95537676083327,149.2649075242957,147.17746941840664,106.64769276503938,144.19085483004142,165.75937881793584,1
48.13705658210162,17.45824590128553,21.88287080820358,24.777018557209136,60.496819409390504,17.27051487047809,71.19419466888965,37.96777817533597,43.70142175826935,48.40849804551326,60.46059540827844,83.90148224866512,65.46810824859627,97.73653298376571,90.56268540226888,99.18115166661904,102.62416271729688,98.94803429779276,99.78421272659206,140.52068645399783,94.48719465476705,130.167849753055,162.49914090644637,131.45476341013853,135.0231939237429,146.66927097922456,173.529139829331,114.85745969353769,88.55465427683474,161.91987042007696,0
48.80510085904563,19.988539704789147,32.44290685212329,23.40628924828622,64.78014461992215,15.12747032359798,72.36988471267247,49.50712415657905,43.995364480511526,46.16636983974318,60.12866174945935,75.55802777520483,83.04519655755045,99.37378439647506,89.11559045187471,78.96487598037491,91.10130404134893,95.0165164467928,108.0066319071615,118.61143532899433,133.81242270216632,133.27178368394704,134.83482808149222,170.89584603106496,140.24984756445537,103.48757248458796,163.08720484279635,156.01052601187737,143.808119449582,159.58834247208117,0
50.70337273372032,15.170264909512035,32.914329959088356,24.766018878592195,53.48822497297911,13.73853302039182,78.49869118760498,24.0589134118771,48.86057844526297,47.889917892196486,67.50387071838487,74.05433560407039,74.0063861559847,90.3938723130778,103.99051269711202,106.64904132482697,114.10419482445548,108.09744300398884,118.38770758155096,121.66593418358654,139.1461717239604,117.36461054942377,138.75008851335076,114.15785000988406,154.58966282276376,116.63215733667867,112.9338532642697,175.1036797957685,130.43370261012566,160.71535697406745,0
52.10043504460436,23.46985005366512,30.042887256022734,26.235363692834177,54.23531122999334,16.245220598225224,71.92400504969868,24.433131940893198,44.198584103988175,50.99928956664012,60.374453906094296,73.67384653358138,81.86309306587421,90.1333477209437,82.63202728868312,109.15399832795731,105.88889147071862,102.2989624264556,101.76188302739715,134.79163703013285,117.27812506339916,134.41072938013565,112.1582528580465,122.96840821398706,160.27931854826429,138.78333412408858,160.2654039692007,127.62947758557735,170.541984226747,200.1563804690922,0
51.30217192457865,23.064622367639505,33.84767299002192,25.77121573670211,59.21313954350739,15.48675450319521,68.85145256902273,32.86175865693275,46.15378440640704,47.173359597686094,59.80877054865562,85.81504901086802,72.42326752605713,76.18443211437763,83.99980227634406,83.80891763136543,88.35143929206347,106.4618502940822,120.07791472801972,114.4121629877262,132.26654422016546,106.46216206888549,147.72570585858517,121.97352534396944,130.08578512226438,132.58268976236124,147.920802697903,139.43508160943534,191.39661756799654,181.36291527479082,0
48.412271664677355,16.611535238247882,31.923918473147527,21.38673428109622,52.42545357146702,12.379557950815459,69.15019590547912,42.32626238813273,44.87248731245316,53.503834851323944,63.04478601515888,74.55175010452115,73.13652955458261,95.52020574878078,87.43699700378453,100.16159317892605,127.33260107836807,103.70643624007998,101.13762251709878,100.39491771531993,126.05676163661667,143.19971063503402,114.0121851860731,151.79874302197058,122.82505714400092,157.57925696173345,166.70177201357808,149.29245914328695,177.3607141013135,147.36185773080584,0
